"File creation date","Household sequence number","Record type and seq indicator","State","Public Use Microdata Area","Person weight","Person's age","Person's sex","Person's marital status","Person's educational attainment","Person's race","Person is of Hispanic origin","Official poverty status","Person's medical out of pocket expenses, other than premiums (imputed)","Person's Medicare part B premium","Tax units created for TAXSIM","Adjusted gross income","SPM unit's ID","SPM unit's number of persons","SPM unit's number of adults","SPM unit's number of chidren","SPM unit's has cohabiting couple","SPM unit has a UI under 15 years old","SPM unit's equivalence scale","SPM unit's tenure/mortgage status","SPM unit's geographic adjustment","SPM poverty status","SPM unit's threshold","Total SPM resources for SPM unit","SPM unit's cash income","SPM unit's SNAP subsidy","SPM unit's capped housing subsidy","SPM unit's school lunch","SPM unit's energy subsidy","SPM unit's WIC value","SPM unit's federal tax","SPM unit's federal tax before refundable tax credits","SPM unit's federal EITC","SPM unit's FICA and federal retirement","SPM unit's state tax","SPM unit's capped work and child care expenses","SPM unit's work expenses - not capped","SPM unit's child care expenses - not capped","SPM unit's Medical Out-Of-Pocket and Medicare B subsidy","SPM unit's Health insurance premiums (imputed)",""
"20211015","2283","1","40","4000602","58","59","2","1","3","1","0","0","254.52947539210402","0","22830000000","36580","2283001","2","2","0","0","0","0.6534829100484774","1","0.8303399999999947","0","15862.748428249766","29264.571993510006","36760","0","0","0","0","0","1088","1088","0","2754","620.75","2065.466","2065.466","0","967.2120064899947","0","0"
"20211015","2283","2","40","4000602","115","65","1","1","2","1","0","0","712.6825310978907","0","22830000128","0","2283001","2","2","0","0","0","0.6534829100484774","1","0.8303399999999947","0","15862.748428249766","29264.571993510006","36760","0","0","0","0","0","1088","1088","0","2754","620.75","2065.466","2065.466","0","967.2120064899947","0","0"
"20211015","2284","1","53","5311602","176","56","1","1","4","1","0","0","50.905895078420826","0","22840000000","316000","2284001","2","2","0","0","0","0.6534829100484774","2","1.1618959999999983","0","18966.793897757037","232790.80799459168","316000","0","0","0","0","0","60841","58333","0","16195","0","4130.932","4130.932","0","2042.2600054083287","1641.354110329908","882.7082206598161"
"20211015","2284","2","53","5311602","195","54","2","1","4","1","0","0","349.9999999999999","0","22840000512","0","2284001","2","2","0","0","0","0.6534829100484774","2","1.1618959999999983","0","18966.793897757037","232790.80799459168","316000","0","0","0","0","0","60841","58333","0","16195","0","4130.932","4130.932","0","2042.2600054083287","1641.354110329908","2400"
"20211015","2286","1","48","4804602","49","73","1","1","1","1","1","0","0","1626","22860000000","26750","2286001","2","2","0","0","0","0.6534829100484774","1","1.0204589999999998","0","19494.76647920542","48864.94104921579","51000","0","0","0","0","0","0","0","0","0","0","0","0","0","2135.058950784208","0","0"
"20211015","2286","2","48","4804602","48","71","2","1","1","1","1","0","509.0589507842077","0","22859999232","0","2286001","2","2","0","0","0","0.6534829100484774","1","1.0204589999999998","0","19494.76647920542","48864.94104921579","51000","0","0","0","0","0","0","0","0","0","0","0","0","0","2135.058950784208","0","0"
"20211015","2287","1","6","602500","20","36","2","4","2","1","1","1","50.905895078420826","0","22870000000","0","2287001","5","1","4","0","0","1.068993044916333","2","0.9062490000000007","1","24199.971471500317","7480.723808545159","200","6258","0","1213.978","104","0","0","0","0","0","0","0","0","0","295.25419145484057","244.34829637641974","244.34829637641974"
"20211015","2287","2","6","602500","24","8","1","5","0","1","1","1","0","0","22870000000","0","2287001","5","1","4","0","0","1.068993044916333","2","0.9062490000000007","1","24199.971471500317","7480.723808545159","200","6258","0","1213.978","104","0","0","0","0","0","0","0","0","0","295.25419145484057","244.34829637641974","0"
"20211015","2287","3","6","602500","31","7","2","5","0","1","1","1","0","0","22870000000","0","2287001","5","1","4","0","0","1.068993044916333","2","0.9062490000000007","1","24199.971471500317","7480.723808545159","200","6258","0","1213.978","104","0","0","0","0","0","0","0","0","0","295.25419145484057","244.34829637641974","0"
"20211015","2287","4","6","602500","41","3","2","5","0","1","1","1","0","0","22870000000","0","2287001","5","1","4","0","0","1.068993044916333","2","0.9062490000000007","1","24199.971471500317","7480.723808545159","200","6258","0","1213.978","104","0","0","0","0","0","0","0","0","0","295.25419145484057","244.34829637641974","0"
"20211015","2287","5","6","602500","35","0","1","5","0","1","1","1","0","0","22870000000","0","2287001","5","1","4","0","0","1.068993044916333","2","0.9062490000000007","1","24199.971471500317","7480.723808545159","200","6258","0","1213.978","104","0","0","0","0","0","0","0","0","0","295.25419145484057","244.34829637641974","0"
"20211015","2288","1","37","3705300","176","32","2","1","1","4","1","0","7300.554016620498","0","22880000000","32000","2288001","6","3","3","0","0","1.328201239943334","3","0.9645039999999916","1","36998.16125953963","34926.09659445983","40000","0","0","1820.967","0","0","-9773.8896","760","5573.8901","3060","350.56","4130.932","4130.932","0","9127.268005540167","800.9522160664819","37.5"
"20211015","2288","2","37","3705300","252","40","1","1","1","4","1","0","400","0","22880000000","32000","2288001","6","3","3","0","0","1.328201239943334","3","0.9645039999999916","1","36998.16125953963","34926.09659445983","40000","0","0","1820.967","0","0","-9773.8896","760","5573.8901","3060","350.56","4130.932","4130.932","0","9127.268005540167","800.9522160664819","1564.4044321329638"
"20211015","2288","3","37","3705300","206","12","1","5","0","4","1","0","0","0","22880000000","32000","2288001","6","3","3","0","0","1.328201239943334","3","0.9645039999999916","1","36998.16125953963","34926.09659445983","40000","0","0","1820.967","0","0","-9773.8896","760","5573.8901","3060","350.56","4130.932","4130.932","0","9127.268005540167","800.9522160664819","0"
"20211015","2288","4","37","3705300","232","11","2","5","0","4","1","0","0","0","22880000000","32000","2288001","6","3","3","0","0","1.328201239943334","3","0.9645039999999916","1","36998.16125953963","34926.09659445983","40000","0","0","1820.967","0","0","-9773.8896","760","5573.8901","3060","350.56","4130.932","4130.932","0","9127.268005540167","800.9522160664819","0"
"20211015","2288","5","37","3705300","231","7","2","5","0","4","1","0","0","0","22880000000","32000","2288001","6","3","3","0","0","1.328201239943334","3","0.9645039999999916","1","36998.16125953963","34926.09659445983","40000","0","0","1820.967","0","0","-9773.8896","760","5573.8901","3060","350.56","4130.932","4130.932","0","9127.268005540167","800.9522160664819","0"
"20211015","2288","6","37","3705300","223","55","1","1","1","4","1","0","625.7617728531854","0","22880000016","8000","2288001","6","3","3","0","0","1.328201239943334","3","0.9645039999999916","1","36998.16125953963","34926.09659445983","40000","0","0","1820.967","0","0","-9773.8896","760","5573.8901","3060","350.56","4130.932","4130.932","0","9127.268005540167","800.9522160664819","0"
"20211015","2289","1","36","3601900","43","81","2","2","4","1","0","0","800","1626","22890000000","60400","2289001","2","2","0","0","0","0.6534829100484774","1","1.0204590000000004","0","19494.76647920543","102056.98461654948","133400","0","0","0","0","0","14674","14674","0","5355","4232.6900000000005","2065.466","2065.466","0","5015.859383450514","2239.859383450514","2239.859383450514"
"20211015","2289","2","36","3601900","56","58","2","5","4","1","0","0","350","0","22890000012","70000","2289001","2","2","0","0","0","0.6534829100484774","1","1.0204590000000004","0","19494.76647920543","102056.98461654948","133400","0","0","0","0","0","14674","14674","0","5355","4232.6900000000005","2065.466","2065.466","0","5015.859383450514","2239.859383450514","0"
"20211015","2290","1","53","5311704","72","29","2","1","3","3","0","0","938.6426592797783","0","22900000000","70000","2290001","4","2","2","0","0","1","3","1.193255999999998","0","34462.42653599995","56922.495218836564","70000","0","0","0","0","0","1084","5084","0","5355","0","2065.466","2065.466","0","4573.038781163435","2584.396121883656","0"
"20211015","2290","2","53","5311704","95","31","1","1","3","1","0","0","1050","0","22900000768","0","2290001","4","2","2","0","0","1","3","1.193255999999998","0","34462.42653599995","56922.495218836564","70000","0","0","0","0","0","1084","5084","0","5355","0","2065.466","2065.466","0","4573.038781163435","2584.396121883656","5168.792243767312"
"20211015","2290","3","53","5311704","59","3","1","5","0","4","0","0","0","0","22900000000","70000","2290001","4","2","2","0","0","1","3","1.193255999999998","0","34462.42653599995","56922.495218836564","70000","0","0","0","0","0","1084","5084","0","5355","0","2065.466","2065.466","0","4573.038781163435","2584.396121883656","0"
"20211015","2290","4","53","5311704","59","1","1","5","0","4","0","0","0","0","22900000000","70000","2290001","4","2","2","0","0","1","3","1.193255999999998","0","34462.42653599995","56922.495218836564","70000","0","0","0","0","0","1084","5084","0","5355","0","2065.466","2065.466","0","4573.038781163435","2584.396121883656","0"
"20211015","2291","1","22","2200101","70","73","2","2","2","1","0","0","4075","1626","22910000000","9500","2291001","1","1","0","0","0","0.46346305677196975","2","0.9149220000000002","0","10592.333019761547","17843.75","25700","0","0","0","0","0","0","0","0","0","43.25","0","0","0","7813","2112","2112"
"20211015","2292","1","19","1901400","22","74","1","2","2","1","0","0","2.0362358031366057","1626","22920000000","3000","2292001","1","1","0","0","0","0.46346305677196975","2","0.9492010000000033","0","10989.19153183628","20758.71722680074","23000","0","0","0","0","0","0","0","0","0","0","0","0","0","2241.2827731992584","613.2465373961218","613.2465373961218"
"20211015","2293","1","9","900100","60","70","1","3","2","1","0","0","3563.4126554894538","1626","22930000000","37705","2293001","1","1","0","0","0","0.46346305677196975","2","1.2093910000000019","0","14001.491081318904","15807.742425689557","37900","0","0","0","0","0","2668.6001","2668.6001","0","199","1023.42","794.4099999999999","794.4099999999999","0","17406.82747431044","12217.414818820986","12217.414818820986"
"20211015","2294","1","22","2200101","106","81","2","2","2","1","0","0","50","1626","22940000000","10300","2294001","3","3","0","0","0","1","2","0.9149220000000002","0","22854.751560000004","32967.84131827474","40900","0","0","0","0","0","-644.8900100000001","0","644.8900100000001","1736","246.92","3098.1989999999996","3098.1989999999996","0","3495.929691725257","700","700"
"20211015","2294","2","22","2200101","160","58","2","3","3","1","0","0","1119.929691725257","0","22940000012","10700","2294001","3","3","0","0","0","1","2","0.9149220000000002","0","22854.751560000004","32967.84131827474","40900","0","0","0","0","0","-644.8900100000001","0","644.8900100000001","1736","246.92","3098.1989999999996","3098.1989999999996","0","3495.929691725257","700","0"
"20211015","2294","3","22","2200101","248","38","1","5","2","1","0","0","0","0","22940000013","12000","2294001","3","3","0","0","0","1","2","0.9149220000000002","0","22854.751560000004","32967.84131827474","40900","0","0","0","0","0","-644.8900100000001","0","644.8900100000001","1736","246.92","3098.1989999999996","3098.1989999999996","0","3495.929691725257","700","0"
"20211015","2295","1","17","1703307","123","49","1","1","1","4","1","0","250","0","22950000000","30000","2295001","5","3","2","0","0","1.2230863395232021","1","1.0464069999999999","0","37415.02110026606","44450.010304607895","45000","2346","0","1213.978","0","0","-7300.3098","840","4780.309800999999","3443","816.35002","6196.397999999999","6196.397999999999","0","954.5294753921039","0","0"
"20211015","2295","2","17","1703307","90","49","2","1","1","4","1","0","254.52947539210385","0","22950000640","0","2295001","5","3","2","0","0","1.2230863395232021","1","1.0464069999999999","0","37415.02110026606","44450.010304607895","45000","2346","0","1213.978","0","0","-7300.3098","840","4780.309800999999","3443","816.35002","6196.397999999999","6196.397999999999","0","954.5294753921039","0","0"
"20211015","2295","3","17","1703307","131","25","2","5","3","4","1","0","250","0","22950000013","15000","2295001","5","3","2","0","0","1.2230863395232021","1","1.0464069999999999","0","37415.02110026606","44450.010304607895","45000","2346","0","1213.978","0","0","-7300.3098","840","4780.309800999999","3443","816.35002","6196.397999999999","6196.397999999999","0","954.5294753921039","0","0"
