"File creation date","Household sequence number","Record type and seq indicator","State","Public Use Microdata Area","Person weight","Person's age","Person's sex","Person's marital status","Person's educational attainment","Person's race","Person is of Hispanic origin","Official poverty status","Person's medical out of pocket expenses, other than premiums (imputed)","Person's Medicare part B premium","Tax units created for TAXSIM","Adjusted gross income","SPM unit's ID","SPM unit's number of persons","SPM unit's number of adults","SPM unit's number of chidren","SPM unit's has cohabiting couple","SPM unit has a UI under 15 years old","SPM unit's equivalence scale","SPM unit's tenure/mortgage status","SPM unit's geographic adjustment","SPM poverty status","SPM unit's threshold","Total SPM resources for SPM unit","SPM unit's cash income","SPM unit's SNAP subsidy","SPM unit's capped housing subsidy","SPM unit's school lunch","SPM unit's energy subsidy","SPM unit's WIC value","SPM unit's federal tax","SPM unit's federal tax before refundable tax credits","SPM unit's federal EITC","SPM unit's FICA and federal retirement","SPM unit's state tax","SPM unit's capped work and child care expenses","SPM unit's work expenses - not capped","SPM unit's child care expenses - not capped","SPM unit's Medical Out-Of-Pocket and Medicare B subsidy","SPM unit's Health insurance premiums (imputed)",""
"filedate","serialno","sporder","st","puma","wt","age","sex","mar","education","race","hispanic","offpoor","moop_other","medicare_partb","tax_id","agi","spm_id","spm_numper","spm_numadults","spm_numkids","spm_wcohabit","spm_wui_lt15","spm_equivscale","spm_tenmortstatus","spm_geoadj","spm_poor","spm_povthreshold","spm_resources","spm_totval","spm_snapsub","spm_caphousesub","spm_schlunch","spm_engval","spm_wicval","spm_fedtax","spm_fedtaxbc","spm_eitc","spm_fica","spm_sttax","spm_capwkccxpns","spm_wkxpns","spm_childcarexpns","spm_medxpns","spm_premium","HI_premium"
"","","Z","","","","","","","","","","","","","BEST","BEST","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20211015","1","1","12","1208623","171","68","2","1","4","1","0","0","6108.707409410494","2275.2","10000000","211600","1001","3","3","0","0","0","1","1","1.1646700000000005","0","34047.962780000016","191633.01202442587","272000","0","0","0","0","0","38587.5","38587.5","0","18524","0","5719.7519999999995","5719.7519999999995","0","17535.735975574134","3317.5696153794297","1832.6122228231477"
"20211015","1","2","12","1208623","156","70","1","1","4","1","0","0","3050","2275.2","10000000","211600","1001","3","3","0","0","0","1","1","1.1646700000000005","0","34047.962780000016","191633.01202442587","272000","0","0","0","0","0","38587.5","38587.5","0","18524","0","5719.7519999999995","5719.7519999999995","0","17535.735975574134","3317.5696153794297","730.0554016620499"
"20211015","1","3","12","1208623","185","29","2","5","4","1","0","0","509.0589507842078","0","10000013","58000","1001","3","3","0","0","0","1","1","1.1646700000000005","0","34047.962780000016","191633.01202442587","272000","0","0","0","0","0","38587.5","38587.5","0","18524","0","5719.7519999999995","5719.7519999999995","0","17535.735975574134","3317.5696153794297","2036.2358031368308"
"20211015","2","1","18","1800300","68","80","1","1","3","1","0","0","1797.9962141698215","1626","20000000","30400","2001","3","3","0","0","0","1","1","0.8612780000000007","0","25178.60105200002","47509.54585426176","54600","0","0","0","0","0","340","340","0","0","682.34003","0","0","0","6068.114115738237","152.71768523526237","0"
"20211015","2","2","18","1800300","67","73","2","1","2","1","0","0","763.5884261763116","1626","20000000","30400","2001","3","3","0","0","0","1","1","0.8612780000000007","0","25178.60105200002","47509.54585426176","54600","0","0","0","0","0","340","340","0","0","682.34003","0","0","0","6068.114115738237","152.71768523526237","305.43537047052473"
"20211015","2","3","18","1800300","56","38","1","5","2","1","0","0","101.81179015684165","0","20000013","0","2001","3","3","0","0","0","1","1","0.8612780000000007","0","25178.60105200002","47509.54585426176","54600","0","0","0","0","0","340","340","0","0","682.34003","0","0","0","6068.114115738237","152.71768523526237","0"
"20211015","3","1","48","4800300","64","42","1","1","4","3","0","0","1260","0","30000000","75000","3001","5","2","3","0","0","1.1139424459794183","1","0.9226549999999998","0","30046.25404615292","61324.00575833609","75000","0","0","0","0","0","-316","5684","0","5738","0","2065.466","2065.466","0","6188.528241663908","4563.500540832883","4800"
"20211015","3","2","48","4800300","44","35","2","1","4","3","0","0","365.02770083102484","0","30000000","75000","3001","5","2","3","0","0","1.1139424459794183","1","0.9226549999999998","0","30046.25404615292","61324.00575833609","75000","0","0","0","0","0","-316","5684","0","5738","0","2065.466","2065.466","0","6188.528241663908","4563.500540832883","4327.001081665766"
