"File creation date","Household sequence number","Record type and seq indicator","State","Public Use Microdata Area","Person weight","Person's age","Person's sex","Person's marital status","Person's educational attainment","Person's race","Person is of Hispanic origin","Official poverty status","Person's medical out of pocket expenses, other than premiums (imputed)","Person's Medicare part B premium","Tax units created for TAXSIM","Adjusted gross income","SPM unit's ID","SPM unit's number of persons","SPM unit's number of adults","SPM unit's number of chidren","SPM unit's has cohabiting couple","SPM unit has a UI under 15 years old","SPM unit's equivalence scale","SPM unit's tenure/mortgage status","SPM unit's geographic adjustment","SPM poverty status","SPM unit's threshold","Total SPM resources for SPM unit","SPM unit's cash income","SPM unit's SNAP subsidy","SPM unit's capped housing subsidy","SPM unit's school lunch","SPM unit's energy subsidy","SPM unit's WIC value","SPM unit's federal tax","SPM unit's federal tax before refundable tax credits","SPM unit's federal EITC","SPM unit's FICA and federal retirement","SPM unit's state tax","SPM unit's capped work and child care expenses","SPM unit's work expenses - not capped","SPM unit's child care expenses - not capped","SPM unit's Medical Out-Of-Pocket and Medicare B subsidy","SPM unit's Health insurance premiums (imputed)",""
"20211015","11021","1","42","4203206","44","88","2","5","4","1","0","0","2294.4598337950138","1626","110210000000","75180","11021001","1","1","0","0","0","0.46346305677196975","3","1.076415","0","14408.112449636425","63590.330576204986","77700","0","0","0","0","0","9351.0996","9351.0996","0","0","838.10999","0","0","0","3920.4598337950138","0","0"
"20211015","11023","1","39","3903000","21","45","1","1","1","1","0","0","0","0","110230000000","77100","11023001","4","3","1","0","0","1.1139424459794183","3","0.8422400000000024","0","27096.35306595103","61760.15836398053","80100","0","0","100.41900000000001","0","0","3936","5936","0","6128","1706.76","5084.224","5084.224","0","1585.27663601947","648.5","1000"
"20211015","11023","2","39","3903000","35","40","2","1","2","1","0","0","275","0","110230003712","0","11023001","4","3","1","0","0","1.1139424459794183","3","0.8422400000000024","0","27096.35306595103","61760.15836398053","80100","0","0","100.41900000000001","0","0","3936","5936","0","6128","1706.76","5084.224","5084.224","0","1585.27663601947","648.5","217"
"20211015","11023","3","39","3903000","35","19","2","5","0","1","0","0","661.7766360194701","0","110230000013","3000","11023001","4","3","1","0","0","1.1139424459794183","3","0.8422400000000024","0","27096.35306595103","61760.15836398053","80100","0","0","100.41900000000001","0","0","3936","5936","0","6128","1706.76","5084.224","5084.224","0","1585.27663601947","648.5","40"
"20211015","11023","4","39","3903000","34","14","1","5","0","1","0","0","0","0","110230000000","77100","11023001","4","3","1","0","0","1.1139424459794183","3","0.8422400000000024","0","27096.35306595103","61760.15836398053","80100","0","0","100.41900000000001","0","0","3936","5936","0","6128","1706.76","5084.224","5084.224","0","1585.27663601947","648.5","0"
"20211015","11024","1","48","4804615","83","31","2","1","4","1","0","0","2000","0","110240000000","88300","11024001","3","2","1","0","0","0.8801833070327151","1","1.0204590000000002","0","26257.715030718475","57855.05991184424","88300","0","0","0","0","0","5280","7280","0","7237","0","3733.727","3733.727","0","14194.21308815576","6900","7800"
"20211015","11024","2","48","4804615","78","31","1","1","4","1","0","0","5294.2130881557605","0","110239997952","0","11024001","3","2","1","0","0","0.8801833070327151","1","1.0204590000000002","0","26257.715030718475","57855.05991184424","88300","0","0","0","0","0","5280","7280","0","7237","0","3733.727","3733.727","0","14194.21308815576","6900","6000"
"20211015","11024","3","48","4804615","76","2","2","5","0","1","0","0","0","0","110240000000","88300","11024001","3","2","1","0","0","0.8801833070327151","1","1.0204590000000002","0","26257.715030718475","57855.05991184424","88300","0","0","0","0","0","5280","7280","0","7237","0","3733.727","3733.727","0","14194.21308815576","6900","0"
"20211015","11025","1","37","3704400","34","63","1","1","2","1","0","0","2000","0","110250000000","36400","11025001","3","3","0","0","0","1","1","0.8353299999999981","0","24420.037219999944","45302.06866495403","64700","0","0","0","0","0","-975.52002","1200","1675.52","4499","894.27002","6077.236499999999","6077.236499999999","0","8902.944835045972","5345.224445646296","7330.448891292591"
"20211015","11025","2","37","3704400","32","62","2","1","3","1","0","0","1018.1179015684154","0","110250000384","0","11025001","3","3","0","0","0","1","1","0.8353299999999981","0","24420.037219999944","45302.06866495403","64700","0","0","0","0","0","-975.52002","1200","1675.52","4499","894.27002","6077.236499999999","6077.236499999999","0","8902.944835045972","5345.224445646296","3360"
"20211015","11025","3","37","3704400","59","21","2","5","0","1","0","0","539.6024878312602","0","110250000000","36400","11025001","3","3","0","0","0","1","1","0.8353299999999981","0","24420.037219999944","45302.06866495403","64700","0","0","0","0","0","-975.52002","1200","1675.52","4499","894.27002","6077.236499999999","6077.236499999999","0","8902.944835045972","5345.224445646296","0"
"20211015","11026","1","36","3604018","54","68","2","3","4","1","0","0","100.00000000000011","0","110260000000","0","11026001","1","1","0","0","0","0.46346305677196975","3","1.2183989999999973","0","16308.607554265347","26347.2723471513","22000","1405","3042.2723471513","0","0","0","0","0","0","0","0","0","0","0","100.00000000000011","0","0"
"20211015","11028","1","4","400700","41","63","1","1","3","1","0","0","960","0","110280000000","67780","11028001","2","2","0","0","0","0.6534829100484774","2","0.9083139999999995","0","14827.320545425153","58155.37432132964","68800","0","0","0","0","0","4661.6001","4661.6001","0","0","1217.0699","0","0","0","4765.95567867036","3232.3407202216063","5214.6814404432125"
"20211015","11028","2","4","400700","38","72","2","1","2","1","0","0","573.6149584487534","0","110279999488","0","11028001","2","2","0","0","0","0.6534829100484774","2","0.9083139999999995","0","14827.320545425153","58155.37432132964","68800","0","0","0","0","0","4661.6001","4661.6001","0","0","1217.0699","0","0","0","4765.95567867036","3232.3407202216063","1250"
"20211015","11029","1","53","5311609","55","65","2","1","4","1","0","0","1355.8171745152354","5200.799999999999","110290000000","400000","11029001","2","2","0","0","0","0.6534829100484774","2","1.1618959999999976","0","18966.793897757027","279552.59027598356","400000","0","0","0","0","0","87693","81993","0","7650","0","2065.466","2065.466","0","23038.943724016426","11128.808864265928","16000"
"20211015","11029","2","53","5311609","53","66","1","1","4","1","0","0","152.71768523526225","5200.799999999999","110290001920","0","11029001","2","2","0","0","0","0.6534829100484774","2","1.1618959999999976","0","18966.793897757027","279552.59027598356","400000","0","0","0","0","0","87693","81993","0","7650","0","2065.466","2065.466","0","23038.943724016426","11128.808864265928","6257.617728531855"
"20211015","11030","1","4","400134","147","67","1","1","2","1","0","0","3128.8088642659277","1626","110300000000","45970","11030001","2","2","0","0","0","0.6534829100484774","1","1.002994000000001","0","19161.116527017926","50555.490306447","60000","0","0","0","0","0","2044.4","2044.4","0","0","488.16","0","0","0","6911.949693553002","2085.8725761772853","4171.745152354571"
"20211015","11030","2","4","400134","149","62","2","1","2","1","0","0","71.26825310978916","0","110299996160","0","11030001","2","2","0","0","0","0.6534829100484774","1","1.002994000000001","0","19161.116527017926","50555.490306447","60000","0","0","0","0","0","2044.4","2044.4","0","0","488.16","0","0","0","6911.949693553002","2085.8725761772853","0"
"20211015","11031","1","27","2701501","150","65","2","3","4","1","0","0","650","1626","110310000000","47000","11031001","1","1","0","0","0","0.46346305677196975","2","1.0425389999999992","0","12069.794227364926","32696.90227146815","47000","0","0","0","0","0","3784","3784","0","0","1985.48","0","0","0","8533.617728531855","6257.617728531855","6257.617728531855"
"20211015","11032","1","47","4701604","95","63","1","1","4","1","0","0","356.34126554894533","0","110320000000","172000","11032001","3","3","0","0","0","1","1","0.8777450000000017","0","25659.99733000005","146780.29991940092","194000","0","0","0","0","0","25171","25171","0","11953","0","4051.4909999999995","4051.4909999999995","0","6044.209080599081","3637.8678150501355","6257.617728531855"
"20211015","11032","2","47","4701604","99","64","2","1","4","1","0","0","2000","0","110320001024","0","11032001","3","3","0","0","0","1","1","0.8777450000000017","0","25659.99733000005","146780.29991940092","194000","0","0","0","0","0","25171","25171","0","11953","0","4051.4909999999995","4051.4909999999995","0","6044.209080599081","3637.8678150501355","0"
"20211015","11032","3","47","4701604","106","32","2","5","4","1","0","0","50","0","110320000013","22000","11032001","3","3","0","0","0","1","1","0.8777450000000017","0","25659.99733000005","146780.29991940092","194000","0","0","0","0","0","25171","25171","0","11953","0","4051.4909999999995","4051.4909999999995","0","6044.209080599081","3637.8678150501355","509.0589507842078"
"20211015","11033","1","37","3703002","35","68","1","1","3","1","0","0","800","1626","110330000000","0","11033001","3","3","0","0","0","1","1","0.9640719999999874","0","28183.680847999633","37198.13485011138","46800","0","0","0","0","0","236.78","280","43.220001","1148","331.66","2065.466","2065.466","0","5819.959149888613","652.0173216337649","916.306111411574"
"20211015","11033","2","37","3703002","36","67","2","1","3","1","0","0","896.9252077562326","1626","110330003456","0","11033001","3","3","0","0","0","1","1","0.9640719999999874","0","28183.680847999633","37198.13485011138","46800","0","0","0","0","0","236.78","280","43.220001","1148","331.66","2065.466","2065.466","0","5819.959149888613","652.0173216337649","187.72853185595545"
"20211015","11033","3","37","3703002","64","33","1","5","4","1","0","0","219.01662049861488","0","110330000013","15000","11033001","3","3","0","0","0","1","1","0.9640719999999874","0","28183.680847999633","37198.13485011138","46800","0","0","0","0","0","236.78","280","43.220001","1148","331.66","2065.466","2065.466","0","5819.959149888613","652.0173216337649","100.00000000000023"
"20211015","11034","1","48","4801800","15","58","1","3","4","1","0","0","305.4353704705246","0","110340000000","162600","11034001","1","1","0","0","0","0.46346305677196975","2","0.8872509999999998","0","10271.977353387992","119244.71774310288","162600","0","0","0","0","0","30270.5","30270.5","0","10401","0","2065.466","2065.466","0","618.3162568971171","312.8808864265925","312.8808864265925"
