filedate,serialno,sporder,st,puma,wt,age,sex,mar,education,race,hispanic,offpoor,moop_other,medicare_partb,tax_id,agi,spm_id,spm_numper,spm_numadults,spm_numkids,spm_wcohabit,spm_wui_lt15,spm_equivscale,spm_tenmortstatus,spm_geoadj,spm_poor,spm_povthreshold,spm_resources,spm_totval,spm_snapsub,spm_caphousesub,spm_schlunch,spm_engval,spm_wicval,spm_fedtax,spm_fedtaxbc,spm_eitc,spm_fica,spm_sttax,spm_capwkccxpns,spm_wkxpns,spm_childcarexpns,spm_medxpns,spm_premium
20211015,1119277,2,6,611101,74,15,1,5,0,1,1,1,20.338686131386567,0.0,11192770000000,13000.0,1119277001,3,1,2,0,0,0.8302800578458694,3,1.3125,0,27744.845982992032,33877.30186706245,13000,0.0,17675.380846614116,1070.7779999999998,0.0,0.0,-6700.0,0.0,5200.0,995,0.0,2001.903,2001.903,0.0,1571.9539795516594,1500.0
20211015,564153,1,53,5311616,30,31,2,1,4,1,0,0,454.2145820983996,0.0,5641530000000,133000.0,564153001,2,2,0,0,0,0.6534829100484774,3,1.1110000000000002,0,18484.45680260584,95208.4065074096,133000,0.0,0.0,0.0,0.0,0.0,19887.5,19887.5,0.0,10175,0.0,4003.806,4003.806,0.0,3725.2874925903975,3064.611736810907
20211015,268873,3,34,3402101,54,15,2,5,0,1,1,0,3100.0,0.0,2688730000000,40000.0,268873001,5,2,3,0,0,1.1139424459794185,3,1.1134999999999984,0,31579.945300207128,38135.701041515946,40000,1176.0,0.0,1606.167,0.0,0.0,-4832.5601,785.0,2617.5601,3578,-7.2600002,2786.963,2786.963,0.0,3121.3230586840546,0.0
20211015,1415812,2,51,5151225,94,46,1,3,2,1,0,1,125.0,0.0,14158120000012,3000.0,1415812003,1,1,0,0,0,0.4634630567719697,2,1.015352000000002,1,10060.960667825637,2875.0,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,125.0,0.0
20211015,735093,6,6,603748,163,5,1,5,0,4,1,1,0.0,0.0,7350930000000,20000.0,735093001,6,3,3,0,0,1.328201239943334,3,1.2725000000000015,1,43030.8645414982,24400.758313868613,20000,0.0,0.0,0.0,0.0,0.0,-8143.0,0.0,6143.0,1530,0.0,2001.903,2001.903,0.0,210.3386861313868,0.0
20211015,297636,1,12,1210900,79,75,1,1,4,1,0,0,2750.0,3272.4,2976360000000,346435.0,297636001,2,2,0,0,0,0.6534829100484774,2,1.010907999999998,0,14123.865352876872,254728.61471898024,354100,0.0,0.0,0.0,0.0,0.0,85293.656,81629.133,0.0,0,0.0,0.0,0.0,0.0,14077.729281019734,2898.971071179782
20211015,1267972,4,29,2902500,74,4,2,5,0,1,0,1,0.0,0.0,12679720000000,0.0,1267972001,5,1,4,0,0,1.068993044916333,3,0.8294999999999983,1,22576.13894510113,6860.955059869591,3600,1220.0,0.0,1070.7779999999998,0.0,1047.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,77.42294013040902,0.0
20211015,903935,6,6,603735,106,43,1,1,2,1,1,0,1016.934306569343,0.0,9039350071296,0.0,903935001,6,4,2,0,0,1.429862000740158,1,1.2763149999999994,0,47164.11943250347,77349.52632945222,95600,0.0,0.0,189.382,0.0,0.0,2520.0,3520.0,0.0,3826,0.0,3297.252,3297.252,0.0,8796.603670547785,4065.242113370169
20211015,382335,2,22,2200700,21,22,1,1,0,1,1,0,2338.948905109489,0.0,3823350054912,0.0,382335001,2,2,0,0,0,0.6534829100484774,2,0.9082920000000008,0,12690.169539755618,18106.815549456383,30000,0.0,0.0,0.0,0.0,0.0,970.0,970.0,0.0,2295,481.20001,4003.806,4003.806,0.0,4143.178440543616,152.5401459854013
20211015,1216128,1,36,3603709,81,67,1,1,1,1,1,0,103.23058684054536,0.0,12161280000000,35275.0,1216128001,3,3,0,0,0,1.0,2,1.1745279999999978,0,25111.408639999958,38772.844711136335,47000,0.0,0.0,0.0,0.0,0.0,1377.5,1377.5,0.0,2570,667.549999,3297.252,3297.252,0.0,314.8532898636633,0.0
