filedate,serialno,sporder,st,puma,wt,age,sex,mar,education,race,hispanic,offpoor,moop_other,medicare_partb,tax_id,agi,spm_id,spm_numper,spm_numadults,spm_numkids,spm_wcohabit,spm_wui_lt15,spm_equivscale,spm_tenmortstatus,spm_geoadj,spm_poor,spm_povthreshold,spm_resources,spm_totval,spm_snapsub,spm_caphousesub,spm_schlunch,spm_engval,spm_wicval,spm_fedtax,spm_fedtaxbc,spm_eitc,spm_fica,spm_sttax,spm_capwkccxpns,spm_wkxpns,spm_childcarexpns,spm_medxpns,spm_premium
20211015,76151,2,12,1205703,81,77,1,3,3,1,1,1,35.0,0.0,761510000012,0.0,76151003,1,1,0,0,0,0.4634630567719697,2,1.032964000000002,1,10245.0499736736,9977.5,9400,510.4999999999999,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,35.0,0.0
20211015,81584,1,6,603702,59,42,1,1,4,1,0,0,440.0,0.0,815840000000,180000.0,81584001,4,2,2,0,0,1.0,1,1.284760000000003,0,33126.25184000008,130421.59987897125,180000,0.0,0.0,176.686,0.0,0.0,26039.449,26039.449,0.0,7234,9272.7695,1684.1475,1684.1475,0.0,5524.720121028745,4084.720121028745
20211015,151399,1,45,4501400,83,53,2,5,4,1,0,0,2270.0,0.0,1513990000000,43500.0,151399001,1,1,0,0,0,0.4634630567719697,1,1.0120960000000043,0,12094.47782669798,30572.9925,43500,0.0,0.0,0.0,0.0,0.0,4627.5,4627.5,0.0,2459,1886.36,1684.1475,1684.1475,0.0,2270.0,0.0
20211015,403821,1,13,1301800,99,42,1,3,1,2,0,1,765.8850226928896,0.0,4038210000000,0.0,403821001,2,1,1,0,0,0.6993681904144294,3,0.8235999999999997,0,14460.471003003757,16773.6873859302,13200,786.0,2454.0754086230872,499.497,600.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,765.8850226928896,0.0
20211015,1006718,4,26,2600400,31,18,1,5,0,1,0,0,50.0,0.0,10067180000014,15000.0,1006718005,1,1,0,0,0,0.4634630567719697,1,0.8694640000000226,1,10390.035203293322,9690.205094269662,15000,0.0,0.0,0.0,0.0,0.0,525.0,525.0,0.0,848,306.57999,1684.1475,1684.1475,0.0,1946.0674157303367,1896.0674157303367
20211015,1030530,5,6,602902,96,5,2,5,0,1,1,1,0.0,0.0,10305300000000,13500.0,1030530001,6,3,3,0,0,1.328201239943334,1,0.9465760000000228,1,32416.764261365883,25888.318114574275,27500,0.0,0.0,1498.4909999999998,0.0,0.0,-7083.01001,382.98999,5891.0,1555,0.0,3368.295,3368.295,0.0,5269.887895425725,3840.0
20211015,650127,2,24,2400100,56,85,2,1,4,1,0,0,350.0,1198.8000000000002,6501269766144,0.0,650127001,2,2,0,0,0,0.6534829100484774,2,0.8826160000000008,0,12342.973703696434,24641.97584269663,30700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6058.024157303371,3020.7471910112363
20211015,352124,3,48,4804100,35,9,2,5,0,1,0,0,0.0,0.0,3521240000000,93000.0,352124001,5,2,3,0,0,1.1139424459794185,3,0.8598599999999914,0,24046.436417914312,75657.58609085655,93000,0.0,0.0,176.686,0.0,0.0,5445.0,8445.0,0.0,7643,0.0,3368.295,3368.295,0.0,1062.8049091434498,526.685393258427
20211015,656708,1,34,3402201,42,50,2,1,4,1,0,0,220.0,0.0,6567080000000,81004.0,656708001,3,3,0,0,0,1.0,1,1.1184399999999997,0,28837.85695999999,64807.53490769179,84254,0.0,0.0,0.0,0.0,0.0,7785.6001,7785.6001,0.0,4701,1471.89,3599.4525,3599.4525,0.0,1888.5224923082155,796.8
20211015,1277607,1,5,502000,34,83,2,2,4,1,0,1,105.33707865168547,0.0,12776070000000,0.0,1277607001,1,1,0,0,0,0.4634630567719697,2,0.8580940000000008,1,8510.6701802865,7394.662921348315,7500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,105.33707865168547,0.0
20211015,1448381,1,4,400117,77,56,2,1,1,1,1,1,1162.9213483146068,0.0,14483810000000,0.0,1448381001,6,6,0,0,0,1.6245047927124707,1,1.0120960000000023,1,42392.88743243326,5686.2435794542525,0,7351.999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-150.0,0.0,0.0,0.0,1815.7564205457463,0.0
20211015,486884,1,41,4100703,73,33,2,1,4,1,0,0,4050.0,0.0,4868840000000,29600.0,486884001,4,2,2,0,0,1.0,1,0.9591760000000052,0,24731.393984000133,31292.47410827534,29600,4007.0,0.0,0.0,0.0,1079.52,-5448.6201,250.0,3698.6201,1492,530.97998,1436.47875,1436.47875,0.0,5383.20726172466,375.0
