filedate,serialno,sporder,st,puma,wt,age,sex,mar,education,race,hispanic,offpoor,moop_other,medicare_partb,tax_id,agi,spm_id,spm_numper,spm_numadults,spm_numkids,spm_wcohabit,spm_wui_lt15,spm_equivscale,spm_tenmortstatus,spm_geoadj,spm_poor,spm_povthreshold,spm_resources,spm_totval,spm_snapsub,spm_caphousesub,spm_schlunch,spm_engval,spm_wicval,spm_fedtax,spm_fedtaxbc,spm_eitc,spm_fica,spm_sttax,spm_capwkccxpns,spm_wkxpns,spm_childcarexpns,spm_medxpns,spm_premium
20211015,705136,2,45,4500502,92,28,2,1,2,1,1,0,50.0,0.0,7051360075776,0.0,705136001,7,4,3,0,0,1.5285125339813816,2,0.9012640000000018,0,29476.364277159373,61204.00963157673,70000,0.0,0.0,88.343,0.0,0.0,-2665.25,5928.75,6044.0,5355,2315.5,3176.85375,3176.85375,0.0,702.2296184232642,0.0
20211015,956548,2,6,608511,146,21,1,5,0,1,0,0,4100.0,0.0,9565480000000,13000.0,956548001,2,2,0,0,0,0.6534829100484774,3,1.3977920000000013,1,22967.36397352961,13119.134438350984,18000,0.0,0.0,0.0,0.0,0.0,-3250.0,0.0,3250.0,1378,0.0,2134.71125,2134.71125,0.0,4618.154311649017,0.0
20211015,623380,2,42,4204001,71,18,2,5,0,1,1,0,414.5234493192129,0.0,6233800000000,75000.0,623380001,3,3,0,1,0,1.0,2,0.9367599999999978,0,20043.853719999952,73561.41740207412,103000,0.0,0.0,88.343,0.0,0.0,9086.299999,9265.0,178.7,7880,2670.89999,5143.4775,5143.4775,0.0,4746.248108925869,3054.001512859304
20211015,88437,3,6,607504,180,5,1,5,0,1,1,0,0.0,0.0,884370000000,70000.0,88437001,4,2,2,0,0,1.0,3,1.3462079999999972,0,33849.05395199993,54668.489732222224,70000,0.0,0.0,0.0,0.0,0.0,3437.5,5437.5,0.0,5355,861.73999,1714.4925,1714.4925,0.0,3962.777777777778,2810.555555555556
20211015,1189543,1,6,603763,98,34,1,3,4,2,0,0,650.0,0.0,11895430000000,80000.0,1189543001,1,1,0,0,0,0.4634630567719697,1,1.288420000000002,0,15309.946100909878,52704.93315555556,80000,0.0,0.0,0.0,0.0,0.0,11701.48,11701.48,0.0,6120,4064.6499,1714.4925,1714.4925,0.0,3694.444444444444,3044.4444444444443
20211015,414654,1,13,1302700,261,22,2,5,0,2,0,1,90.0,0.0,4146540000000,11000.0,414654001,1,1,0,0,0,0.4634630567719697,3,0.8502080000000005,1,9907.741724093945,7435.807499999999,11000,49.5,0.0,0.0,0.0,0.0,100.0,100.0,0.0,842,167.2,1714.4925,1714.4925,0.0,790.0,700.0
20211015,179763,2,6,605904,116,41,2,1,1,4,1,1,666.6666666666666,0.0,1797629935616,0.0,179763001,5,3,2,0,0,1.223086339523202,3,1.282720000000003,1,39447.85106838852,28631.479880781084,25500,0.0,0.0,1498.4909999999998,0.0,0.0,-7595.4199,0.0,5595.4199,1952,0.0,1344.7,1344.7,0.0,2665.731019218916,1523.86880147924
20211015,198507,2,12,1201105,148,77,2,1,4,1,0,0,1200.0,1258.8000000000002,1985069973504,0.0,198507001,2,2,0,0,0,0.6534829100484774,2,1.1138320000000004,0,15574.238170103485,42581.32409417549,50000,0.0,0.0,0.0,0.0,0.0,785.0,785.0,0.0,1613,0.0,2302.79875,2302.79875,0.0,2717.8771558245085,0.0
20211015,1329978,1,48,4805500,35,57,1,1,2,1,1,0,220.0,0.0,13299780000000,56000.0,1329978001,2,2,0,0,0,0.6534829100484774,1,0.8588259999999942,0,14389.327607289926,43261.64625,56000,0.0,0.0,0.0,0.0,0.0,4507.5,4507.5,0.0,4614,0.0,3176.85375,3176.85375,0.0,440.0,0.0
20211015,1198395,1,51,5151040,149,34,2,1,4,1,0,0,121.77777777777784,0.0,11983950000000,120000.0,1198395001,5,2,3,0,0,1.1139424459794185,1,0.8846320000000021,0,25265.41756333567,88531.1381957584,120000,0.0,0.0,0.0,0.0,0.0,11432.5,13932.5,0.0,9180,5772.6299,3428.985,3428.985,0.0,1654.7469042416092,518.1543116490166
